Nr.,Name,Nametech,Area,Area misc.,Importance,Parent,Decade,Year,Country?
,Afrobeat,afrobeat,african,jazz,4,Highlife,1960s,late 1960s,"Nigeria, Ghana"
,Afrobeats,afrobeats,african,pop,5,Hiplife,2000s,late 2000s,"Nigeria, Ghana"
,Afropop,afropop,african,pop,4,Highlife,1960s,1960s,Africa / worldwide
,Afroswing,afroswing,african,hiphop,3,Afrobeats,2010s,mid-2010s,UK
,Amapiano,amapiano,african,house,4,Deep House,2010s,mid-2010s,South Africa
,Apala,apala,african,folk,4,(none),1930s,1930s,Nigeria
,Azonto,azonto,african,hiphop,3,Hiplife,2010s,early 2010s,Ghana
,Bongo Flava,bongoflava,african,hiphop,5,Hiphop,1990s,early 1990s,Tanzania
,Bubu (sierra leone),bubusierraleone,african,folk,2,(none),ancient,precolonial traditional origins,Sierra Leone
,Chimurenga,chimurenga,african,rock,5,Shona Music,1970s,early 1970s,Zimbabwe
,Congolese Rumba,congoleserumba,african,latin,5,Son Cubano,1940s,late 1940s,"DR Congo, Republic of the Congo"
,Coupé-Décalé,coupedecale,african,edm,4,Zouglou,2000s,early 2000s,"Ivory Coast, France"
,Fuji,fuji,african,folk,4,Wéré Music,1960s,late 1960s,Nigeria
,Genge,genge,african,hiphop,4,Hiphop,1990s,late 1990s,Kenya
,Gengetone,gengetone,african,hiphop,4,Genge,2010s,late 2010s,Kenya
,Gnawa,gnawa,african,folk,5,(none),1600s,16th–17th centuries,Morocco
,Gqom,gqom,african,house,3,Kwaito,2010s,early 2010s,South Africa
,Highlife,highlife,african,folk,4,(none),1920s,early 1920s,Ghana
,Hiplife,hiplife,african,hiphop,4,Highlife,1990s,early 1990s,Ghana
,Jùjú,juju,african,folk,4,Palm-Wine Music,1920s,mid-1920s,Nigeria
,Kuduro,kuduro,african,latin,3,Semba,1980s,late 1980s,Angola
,Kwaito,kwaito,african,house,4,House,1980s,late 1980s,South Africa
,Kwela,kwela,african,jazz,4,Marabi,1950s,1950s,South Africa
,Mahraganat,mahraganat,african,edm,4,Shaabi,2000s,late 2000s,Egypt
,Makossa,makossa,african,folk,4,(none),1950s,1950s,Cameroon
,Marabi,marabi,african,jazz,5,(none),1920s,1920s,South Africa
,Mbalax,mbalax,african,folk,4,(none),1970s,1970s,"Senegal, Gambia"
,Mbube (+ isicathamiya),mbubeisicathamiya,african,,4,Zulu Music,1920s,1920s,South Africa
,Palm-Wine Music,palmwinemusic,african,folk,4,Highlife,1920s,early 1920s,West Africa
,Rough Kuduro,roughkuduro,african,edm,2,Kuduro,2000s,mid-2000s,"Angola, Portugal"
,Sakara,sakara,african,folk,3,(none),1920s,1920s,Nigeria
,Sega,sega,african,folk,4,(none),1700s,late 17th–early 18th centuries,"Mauritius, Réunion"
,Seggae,seggae,african,jamaican,2,Sega,1980s,late 1980s,Mauritius
,Semba,semba,african,latin,4,(none),1940s,1940s,Angola
,Shangaan Electro,shangaanelectro,african,edm,3,Tsonga Disco,2000s,mid-2000s,South Africa
,Shona Music,shonamusic,african,folk,4,(none),ancient,precolonial traditional origins,Zimbabwe
,Singeli,singeli,african,edm,4,Taarab,2000s,mid-2000s,Tanzania
,Soukous,soukous,african,latin,4,Congolese Rumba,1960s,1960s,DR Congo
,Taarab,taarab,african,folk,5,(none),1880s,late 1800s,"Tanzania, Kenya"
,Tishoumaren,tishoumaren,african,rock,4,Tuareg Music,1980s,early 1980s,"Mali, Niger"
,Tsonga Disco,tsongadisco,african,soulful,3,Disco,1980s,1980s,South Africa
,Tuareg Music,tuaregmusic,african,folk,4,(none),ancient,precolonial traditional origins,"Sahara, Sahel"
,Wéré Music,weremusic,african,folk,3,(none),1900s,early 20th century; popularized 1950s,Nigeria
,Zouglou,zouglou,african,pop,4,(none),1990s,mid-1990s,Ivory Coast
,Zulu Music,zulumusic,african,folk,4,(none),ancient,precolonial traditional origins,South Africa
,Street Pop,streetpop,african,hiphop,3,Afrobeats,2010s,late-2010s,Nigeria
,Ambient,ambient,ambient,experimental,5,(none),1970s,mid-1970s,UK
,Ambient Dub,ambientdub,ambient,jamaican,4,Dub,1980s,late 1980s,UK
,Dark Ambient,darkambient,ambient,industrial,3,Ambient,1970s,late 1970s,UK
,Drone Music,dronemusic,ambient,experimental,4,Minimal Music,1960s,early 1960s,USA
,Dungeon Synth,dungeonsynth,ambient,metal,3,Black Metal,1990s,early 1990s,Norway
,Ethereal,ethereal,ambient,rock,2,Darkwave,1980s,mid-1980s,UK
,Isolationism,isolationism,ambient,industrial,3,Dark Ambient,1990s,early 1990s,UK
,Lowercase,lowercase,ambient,experimental,1,Sound Art,2000s,early 2000s,USA
,Mallsoft,mallsoft,ambient,,2,Vaporwave,2010s,mid-2010s,"Worldwide, online"
,Muzak,muzak,ambient,pop,3,(none),1930s,1930s,USA
,New Age,newage,ambient,classical,4,Ambient,1970s,late 1970s,Worldwide
,Oceangrunge,oceangrunge,ambient,,1,Vaporwave,2010s,mid-2010s,"Worldwide, online"
,Space Ambient,spaceambient,ambient,experimental,3,Ambient,1970s,late 1970s,Europe
,Vaporwave,vaporwave,ambient,edm,5,Chillwave,2010s,early 2010s,"Worldwide, online"
,2-Step Garage,2stepgarage,breakbeat,house,4,UK Garage,1990s,late 1990s,UK
,Acid Breakbeat,acidbreakbeat,breakbeat,house,2,Breakbeat,1980s,late 1980s,UK
,Big Beat,bigbeat,breakbeat,rock,4,Breakbeat,1990s,mid-1990s,UK
,Breakbeat,breakbeat,breakbeat,,5,Hiphop,1980s,late 1980s,"USA, UK"
,Breakstep,breakstep,breakbeat,dubstep,2,2-Step Garage,2000s,early 2000s,UK
,Chemical Breakbeat,chemicalbreakbeat,breakbeat,rock,1,Big Beat,1990s,late 1990s,UK
,Dark Breakbeat,darkbreakbeat,breakbeat,industrial,2,Breakbeat,1990s,mid-1990s,Europe
,Dubstazz,dubstazz,breakbeat,jazz,1,Breakbeat,2000s,mid-2000s,Worldwide
,Florida Breakbeat,floridabreakbeat,breakbeat,edm,3,Electro,1980s,late 1980s,USA
,Future Garage,futuregarage,breakbeat,ambient,3,UK Garage,2000s,late 2000s,UK
,Neurohop,neurohop,breakbeat,dnb,2,Neurofunk,2010s,early 2010s,"USA, Europe"
,Newschool Breakbeat,newschoolbreakbeat,breakbeat,edm,2,Breakbeat,1990s,mid-1990s,UK
,Progressive Breakbeat,progressivebreakbeat,breakbeat,trance,2,Breakbeat,1990s,late 1990s,Europe
,Speed Garage,speedgarage,breakbeat,house,4,UK Garage,1990s,mid-1990s,UK
,UK Bass,ukbass,breakbeat,edm,4,UK Garage,2000s,late 2000s,UK
,UK Garage,ukgarage,breakbeat,house,5,Garage,1990s,early 1990s,UK
,Black Midi,blackmidi,chiptune,experimental,2,MIDI Music,2010s,early 2010s,"Japan, online"
,Casiocore,casiocore,chiptune,rock,1,Chiptune,1980s,late 1980s,USA
,Chiptune,chiptune,chiptune,edm,4,VGM,1980s,early 1980s,"Japan, Europe"
,Doskpop,doskpop,chiptune,pop,1,Chiptune,2000s,mid-2000s,Sweden
,MIDI Music,midimusic,chiptune,edm,2,Electronic Music,1980s,early 1980s,Worldwide
,Picopop,picopop,chiptune,pop,2,Chiptune,2000s,early 2000s,Japan
,Skweee,skweee,chiptune,soulful,2,Electro Funk,2000s,mid-2000s,"Finland, Sweden"
,Tracker Music,trackermusic,chiptune,edm,3,Chiptune,1980s,late 1980s,Europe
,VGM,vgm,chiptune,classical,4,(none),1970s,late 1970s,"Japan, USA"
,Bitpop,bitpop,chiptune,pop,3,Chiptune,1990s,late-1990s,Worldwide
,Aleatoric Music,aleatoricmusic,classical,experimental,3,Modernism,1950s,early 1950s,"Europe, USA"
,Ars Nova,arsnova,classical,,3,Medieval Music,1300s,early 1300s,"France, Italy"
,Ballet Music,balletmusic,classical,pop,5,Baroque,1600s,mid-1600s,"France, Italy"
,Baroque,baroque,classical,,5,Renaissance,1600s,c. 1600,Europe
,Cantata,cantata,classical,folk,4,Baroque,1600s,early 1600s,"Italy, Germany"
,Carnatic Music,carnaticmusic,classical,folk,5,(none),1400s,15th century,South India
,Chamber Music,chambermusic,classical,,5,Baroque,1600s,late 1600s,Europe
,Classical,classical,classical,,5,Baroque,1730s,c. 1730,Europe
,Concerto,concerto,classical,,5,Baroque,1600s,late 1600s,Italy
,Contemporary Classical,contemporaryclassical,classical,experimental,4,Modernism,1940s,mid-1900s,Worldwide
,Contemporary Symphonic,contemporarysymphonic,classical,experimental,2,Modernism,1970s,1970s,Worldwide
,Film Score,filmscore,classical,,5,Classical,1900s,1910s,"USA, Europe"
,Gagaku,gagaku,classical,folk,4,(none),700s,8th century,Japan
,Gregorian,gregorian,classical,folk,4,(none),800s,c. 900,Western Europe
,Hindustani Classical,hindustaniclassical,classical,folk,5,(none),1200s,13th century,"North India, Pakistan, Bangladesh"
,Impressionism,impressionism,classical,,4,Romantic,1890s,1890s,France
,Madrigal,madrigal,classical,,4,Renaissance,1500s,early 1500s,Italy
,Mass,mass,classical,folk,4,Gregorian,1300s,14th century,Europe
,Medieval Music,medievalmusic,classical,folk,5,(none),500s,c. 500,Europe
,Minimal Music,minimalmusic,classical,experimental,5,Modernism,1960s,early 1960s,USA
,Modernism,modernism,classical,experimental,5,Romantic,1890s,1890s,Europe
,Motet,motet,classical,folk,4,Medieval Music,1200s,13th century,Europe
,Neoclassicism,neoclassicism,classical,,4,Modernism,1920s,1920s,Europe
,Opera,opera,classical,,5,Renaissance,1600s,c. 1600,Italy
,Operetta,operetta,classical,pop,4,Opera,1800s,mid-1800s,"France, Austria"
,Oratorio,oratorio,classical,folk,4,Opera,1600s,early 1600s,Italy
,Postminimalism,postminimalism,classical,experimental,3,Minimal Music,1970s,late 1970s,USA
,Renaissance,renaissance,classical,,5,Medieval Music,1400s,c. 1400,Europe
,Romantic,romantic,classical,,5,Classical,1820s,c. 1820,Europe
,Serialism,serialism,classical,experimental,4,Modernism,1920s,early 1920s,"Austria, Germany"
,Spectral Music,spectralmusic,classical,experimental,3,Modernism,1970s,early 1970s,France
,Symphony,symphony,classical,,5,Baroque,1700s,early 1700s,Europe
,Artcore,artcore,dnb,experimental,2,Drum & Bass,1990s,mid-1990s,"UK, Japan"
,Atmospheric D&B,atmosphericdandb,dnb,ambient,3,Drum & Bass,1990s,late 1990s,UK
,Breakcore,breakcore,dnb,experimental,3,Jungle,1990s,mid-1990s,Europe
,Clownstep,clownstep,dnb,,1,Jump-up,2000s,early 2000s,UK
,Dancefloor Drum & Bass,dancefloordrumandbass,dnb,edm,4,Drum & Bass,2000s,mid-2000s,UK
,Darkcore Jungle,darkcorejungle,dnb,hardcore,3,Jungle,1990s,early 1990s,UK
,Darkstep,darkstep,dnb,industrial,2,Drum & Bass,1990s,late 1990s,UK
,Drum & Bass,drumandbass,dnb,breakbeat,5,Jungle,1990s,early 1990s,UK
,Drumfunk,drumfunk,dnb,,2,Drum & Bass,2000s,early 2000s,UK
,Drumstep,drumstep,dnb,dubstep,2,Drum & Bass,2000s,late 2000s,"UK, USA"
,Halftime Drum & Bass,halftimedrumandbass,dnb,hiphop,3,Drum & Bass,2000s,late 2000s,"USA, UK"
,Hardstep,hardstep,dnb,hardcore,2,Jungle,1990s,mid-1990s,UK
,Intelligent Drum & Bass,intelligentdrumandbass,dnb,ambient,4,Drum & Bass,1990s,mid-1990s,UK
,Jazzstep,jazzstep,dnb,jazz,2,Drum & Bass,1990s,mid-1990s,UK
,Jump-up,jumpup,dnb,,3,Drum & Bass,1990s,mid-1990s,UK
,Jungle,jungle,dnb,breakbeat,5,Breakbeat,1990s,early 1990s,UK
,Jungle Jazz,junglejazz,dnb,jazz,1,Jazzstep,1990s,late 1990s,UK
,Liquid Funk,liquidfunk,dnb,soulful,3,Drum & Bass,1990s,late 1990s,UK
,Minimal Drum & Bass,minimaldrumandbass,dnb,ambient,3,Drum & Bass,2000s,late 2000s,UK
,Neurofunk,neurofunk,dnb,techno,3,Techstep,1990s,late 1990s,UK
,Ragga Jungle,raggajungle,dnb,jamaican,3,Jungle,1990s,early 1990s,UK
,Raggacore,raggacore,dnb,hardcore,2,Ragga Jungle,2000s,early 2000s,Europe
,Sambass,sambass,dnb,latin,2,Drum & Bass,1990s,late 1990s,Brazil
,Skullstep,skullstep,dnb,hardcore,1,Darkstep,2000s,mid-2000s,Europe
,Technoid,technoid,dnb,industrial,2,Techstep,2000s,early 2000s,Europe
,Techstep,techstep,dnb,techno,3,Drum & Bass,1990s,mid-1990s,UK
,Trancestep,trancestep,dnb,trance,1,Drum & Bass,2000s,early 2000s,Europe
,Ambient Breaks,ambientbreaks,downtempo,breakbeat,2,Ambient,1990s,early 1990s,UK
,Balearic Beat,balearicbeat,downtempo,house,4,House,1980s,mid-1980s,Spain
,Chill-Out,chillout,downtempo,ambient,5,Ambient,1980s,late 1980s,Europe
,Classic Breakbeat,classicbreakbeat,downtempo,breakbeat,2,Breakbeat,1980s,late 1980s,UK
,Downtempo,downtempo,downtempo,ambient,4,Ambient,1990s,early 1990s,UK
,Illbient,illbient,downtempo,hiphop,2,Ambient,1990s,mid-1990s,USA
,Lounge Music,loungemusic,downtempo,jazz,5,Easy Listening,1950s,early 1950s,"USA, Europe"
,Nu Jazz,nujazz,downtempo,jazz,3,Acid Jazz,1990s,late 1990s,Europe
,Trip Hop,triphop,downtempo,hiphop,4,Downtempo,1990s,early 1990s,UK
,Brostep,brostep,dubstep,rock,3,Dubstep,2000s,late 2000s,USA
,Chillstep,chillstep,dubstep,ambient,2,Dubstep,2010s,early 2010s,Worldwide
,Classic Dubstep,classicdubstep,dubstep,breakbeat,4,2-Step Garage,2000s,early 2000s,UK
,Dubstep,dubstep,dubstep,breakbeat,5,UK Garage,2000s,early 2000s,UK
,Industrial Dubstep,industrialdubstep,dubstep,industrial,2,Dubstep,2000s,late 2000s,Worldwide
,Post-Dubstep,postdubstep,dubstep,experimental,3,Dubstep,2000s,late 2000s,UK
,Riddim,riddim,dubstep,,3,Dubstep,2010s,early 2010s,"USA, UK"
,Tearout,tearout,dubstep,hardcore,2,Dubstep,2000s,late 2000s,UK
,Budots,budots,edm,folk,3,Electronic Dance Music,2000s,early 2000s,Philippines
,Electro,electro,edm,soulful,5,Electro Funk,1980s,early 1980s,USA
,Electroclash,electroclash,edm,rock,4,New Wave,1990s,late 1990s,"USA, Europe"
,Electronic Dance Music,electronicdancemusic,edm,,5,Disco,1980s,late 1980s,Worldwide
,Electronica,electronica,edm,experimental,4,Electronic Music,1990s,early 1990s,UK
,Electroswing,electroswing,edm,jazz,4,Swing,1990s,late 1990s,Europe
,Future Bass,futurebass,edm,dubstep,4,Wonky,2000s,late 2000s,"UK, USA"
,Kawaii Bass,kawaiibass,edm,pop,2,Future Bass,2010s,mid-2010s,Japan
,Midtempo,midtempo,edm,dubstep,3,Dubstep,2010s,mid-2010s,Worldwide
,Outrun,outrun,edm,,3,Synthwave,2000s,mid-2000s,"Worldwide, online"
,Rave,rave,edm,house,5,Acid House,1980s,late 1980s,"UK, Europe"
,Seapunk,seapunk,edm,ambient,2,Vaporwave,2010s,early 2010s,"Worldwide, online"
,Synthwave,synthwave,edm,,5,Synthpop,2000s,mid-2000s,"Worldwide, online"
,Acousmatic Music,acousmaticmusic,experimental,classical,3,Musique Concrete,1950s,mid-1950s,France
,Algorave,algorave,experimental,edm,3,IDM,2010s,early 2010s,UK
,Aquacrunk,aquacrunk,experimental,hiphop,1,Wonky,2000s,late 2000s,Scotland
,Danger Music,dangermusic,experimental,noise,2,Fluxus,1960s,early 1960s,"Japan, USA"
,Deconstructed Club,deconstructedclub,experimental,edm,3,Electronic Dance Music,2010s,early 2010s,"Worldwide, online"
,Drill & Bass,drillandbass,experimental,dnb,3,Drum & Bass,1990s,mid-1990s,UK
,EAI,eai,experimental,jazz,2,Free Improvisation,2000s,early 2000s,"Europe, USA"
,Electroacoustic Music,electroacousticmusic,experimental,classical,4,Electronic Music,1940s,late 1940s,Europe
,Electronic Music,electronicmusic,experimental,,5,(none),1940s,late 1940s,"Europe, USA"
,Fluxus,fluxus,experimental,,4,(none),1960s,early 1960s,"Europe, USA, Japan"
,Free Improvisation,freeimprovisation,experimental,jazz,4,Free Jazz,1960s,early 1960s,"UK, Europe, USA"
,Futurism,futurism,experimental,noise,4,(none),1910s,early 1910s,Italy
,Glitch,glitch,experimental,edm,4,IDM,1990s,mid-1990s,"Germany, USA"
,HexD,hexd,experimental,edm,1,Glitch,2010s,late 2010s,"Worldwide, online"
,IDM,idm,experimental,techno,4,Techno,1990s,early 1990s,UK
,Laptop Music,laptopmusic,experimental,edm,3,Electroacoustic Music,1990s,late 1990s,Worldwide
,Live Coding,livecoding,experimental,edm,3,Electronic Music,2000s,early 2000s,Worldwide
,Microsound,microsound,experimental,edm,3,Glitch,1990s,late 1990s,"USA, Europe"
,Musique Concrete,musiqueconcrete,experimental,classical,5,(none),1940s,late 1940s,France
,Onkyo,onkyo,experimental,ambient,2,Free Improvisation,1990s,late 1990s,Japan
,Plunderphonics,plunderphonics,experimental,,4,Sound Collage,1980s,mid-1980s,Canada
,Sound Art,soundart,experimental,,4,(none),1900s,early 1900s,"Europe, USA"
,Sound Collage,soundcollage,experimental,edm,4,Musique Concrete,1940s,late 1940s,"Europe, USA"
,Algerian Folk,algerianfolk,folk,african,3,(none),ancient,pre-modern oral tradition,Algeria
,Alternative Country,alternativecountry,folk,rock,4,Country,1990s,early 1990s,USA
,Americana,americana,folk,,4,Folk Music,1990s,early 1990s,USA
,Andalusian Folk,andalusianfolk,folk,latin,4,(none),ancient,pre-modern oral tradition,"Andalusia, Spain"
,Appalachian Folk,appalachianfolk,folk,,4,Folk Music,1700s,18th century,USA
,Bakersfield Sound,bakersfieldsound,folk,rock,4,Country,1950s,mid-1950s,USA
,Balkan Folk,balkanfolk,folk,,4,Folk Music,ancient,pre-modern oral tradition,Balkans
,Bhangra,bhangra,folk,pop,4,Punjabi Folk,1940s,1940s,"India, Pakistan"
,Bhangragga,bhangragga,folk,jamaican,2,Bhangra,1980s,late 1980s,UK
,Bluegrass,bluegrass,folk,,4,Old-Time Music,1940s,mid-1940s,USA
,Bluegrass Gospel,bluegrassgospel,folk,,3,Bluegrass,1940s,late 1940s,USA
,Blues,blues,folk,soulful,5,(none),1860s,late 1800s,USA
,Blues Revival,bluesrevival,folk,soulful,4,Country Blues,1950s,late 1950s,"USA, UK"
,Brazilian Folk,brazilianfolk,folk,latin,4,(none),1500s,16th-century colonial syncretism,Brazil
,Bro Country,brocountry,folk,pop,3,Country Pop,2010s,early 2010s,USA
,Cajun Music,cajunmusic,folk,,4,(none),1920s,1920s,USA
,Celtic Music,celticmusic,folk,,5,Folk Music,ancient,Iron Age roots,"Ireland, Scotland, Celtic regions"
,Chicago Blues,chicagoblues,folk,soulful,4,Delta Blues,1940s,1940s,USA
,Contemporary Country,contemporarycountry,folk,pop,5,Country,1970s,late 1970s,USA
,Country,country,folk,pop,5,Old-Time Music,1920s,early 1920s,USA
,Country Blues,countryblues,folk,,4,Blues,1900s,early 1900s,USA
,Country Dance,countrydance,folk,classical,4,(none),1500s,16th century,"UK, France"
,Country Rock,countryrock,folk,rock,4,Country,1960s,late 1960s,USA
,Countrypolitan,countrypolitan,folk,pop,4,Nashville Sound,1950s,late 1950s,USA
,Cowboy Music,cowboymusic,folk,,4,Western Music,1800s,late 1800s,USA
,Dangdut,dangdut,folk,pop,5,Malay Music,1960s,late 1960s,Indonesia
,Delta Blues,deltablues,folk,,5,Blues,1920s,early 1920s,USA
,Egyptian Folk,egyptianfolk,folk,african,4,(none),ancient,pre-modern oral tradition,Egypt
,Electric Blues,electricblues,folk,soulful,4,Blues,1940s,late 1940s,USA
,Fado,fado,folk,latin,5,Portuguese Folk,1820s,c. 1820,Portugal
,Flamenco,flamenco,folk,latin,5,Andalusian Folk,1700s,late 1700s,Spain
,Folk Music,folkmusic,folk,,5,(none),ancient,prehistoric oral tradition,Worldwide
,Folktronica,folktronica,folk,edm,4,Folk Music,1990s,late 1990s,UK
,Freak Folk,freakfolk,folk,psy,3,Psychedelic Folk,2000s,early 2000s,USA
,Gamelan,gamelan,folk,classical,5,(none),ancient,traditional,Indonesia
,Garifuna Music,garifunamusic,folk,latin,4,(none),1600s,mid-to-late 17th century,"Central America, Caribbean"
,Ghazal,ghazal,folk,classical,5,(none),600s,7th century,"Middle East, South Asia"
,Greek Folk,greekfolk,folk,,4,(none),ancient,pre-modern oral tradition,Greece
,Hambone,hambone,folk,soulful,2,(none),1800s,19th century,USA
,Hawaiian Music,hawaiianmusic,folk,pop,4,(none),ancient,pre-contact origins (before 1778),"Hawaii, USA"
,Hill Country Blues,hillcountryblues,folk,soulful,3,Country Blues,1950s,1950s,USA
,Honky-Tonk,honkytonk,folk,,4,Country,1940s,1940s,USA
,Humppa,humppa,folk,pop,3,Foxtrot,1930s,1930s,Finland
,Indie Folk,indiefolk,folk,rock,5,Folk Music,1990s,mid-1990s,"USA, UK"
,Inuit Throat Singing,inuitthroatsinging,folk,,3,(none),ancient,pre-contact oral tradition,Canada
,Irish Traditional Music,irishtraditionalmusic,folk,,5,Celtic Music,1600s,17th-century documented tradition,Ireland
,Keroncong,keroncong,folk,pop,4,Portuguese Folk,1500s,16th century; modern form 1900s,Indonesia
,Klezmer,klezmer,folk,,4,(none),1800s,late 1800s,Eastern Europe
,Laïko,laiko,folk,pop,4,Rebetiko,1950s,1950s,Greece
,Lao Folk,laofolk,folk,,3,(none),ancient,pre-modern oral tradition,Laos
,Louisiana Creole Music,louisianacreolemusic,folk,latin,3,(none),1700s,18th-century colonial era,USA
,Luk Thung,lukthung,folk,pop,5,Thai Folk,1930s,late 1930s,Thailand
,Malay Music,malaymusic,folk,pop,4,(none),ancient,pre-modern oral tradition,"Malaysia, Indonesia"
,Manele,manele,folk,pop,4,Romanian Folk,1980s,late 1980s,Romania
,Māori Music,maorimusic,folk,,4,(none),ancient,pre-contact oral tradition,New Zealand
,Mariachi,mariachi,folk,latin,5,Mexican Folk,1800s,19th century,Mexico
,Memphis Blues,memphisblues,folk,soulful,4,Country Blues,1910s,1910s,USA
,Mexican Folk,mexicanfolk,folk,latin,5,(none),1500s,16th-century colonial syncretism,Mexico
,Min'yō,minyo,folk,,4,(none),ancient,pre-modern oral tradition,Japan
,Modern Laika,modernlaika,folk,pop,3,Laïko,1960s,1960s,Greece
,Mor Lam,morlam,folk,pop,4,Lao Folk,1800s,late 18th–19th centuries,"Laos, Thailand"
,Nashville Sound,nashvillesound,folk,pop,4,Country,1950s,mid-1950s,USA
,Neotraditional Country,neotraditionalcountry,folk,,5,Country,1980s,early 1980s,USA
,Newgrass,newgrass,folk,,3,Bluegrass,1970s,early 1970s,USA
,Nordic Folk,nordicfolk,folk,,4,Folk Music,ancient,pre-modern oral tradition,Nordic countries
,Old-Time Music,oldtimemusic,folk,,4,Folk Music,1800s,late 1800s,USA
,Outlaw Country,outlawcountry,folk,rock,4,Country,1970s,early 1970s,USA
,Pansori,pansori,folk,pop,4,(none),1600s,17th century,Korea
,Piedmont Blues,piedmontblues,folk,soulful,4,Country Blues,1900s,early 1900s,USA
,Polka,polka,folk,,4,(none),1830s,c. 1830,Czech lands
,Portuguese Folk,portuguesefolk,folk,latin,4,(none),ancient,pre-modern oral tradition,Portugal
,Psychedelic Folk,psychedelicfolk,folk,psy,4,Folk Music,1960s,mid-1960s,"UK, USA"
,Punjabi Folk,punjabifolk,folk,,4,(none),ancient,pre-modern oral tradition,"India, Pakistan"
,Qawwali,qawwali,folk,,5,Sufi,1200s,13th century,South Asia
,Rai,rai,folk,african,4,Algerian Folk,1920s,1920s,Algeria
,Rebetiko,rebetiko,folk,,4,Greek Folk,1920s,early 1920s,Greece
,Red Dirt,reddirt,folk,rock,4,Country,1980s,late 1980s,USA
,Romani Music,romanimusic,folk,,4,Folk Music,1400s,15th-century European emergence,"Europe, West Asia"
,Romanian Folk,romanianfolk,folk,,4,(none),ancient,pre-modern oral tradition,Romania
,Scottish Folk,scottishfolk,folk,,4,Celtic Music,ancient,pre-modern oral tradition,Scotland
,Sertanejo,sertanejo,folk,pop,5,Brazilian Folk,1920s,1920s,Brazil
,Shaabi,shaabi,folk,african,5,Egyptian Folk,1970s,early 1970s,Egypt
,Singer-Songwriter,singersongwriter,folk,pop,5,Folk Music,1960s,early 1960s,"USA, UK"
,Skiffle,skiffle,folk,rock,3,Folk Music,1920s,1920s; UK revival 1950s,"USA, UK"
,Sufi,sufi,folk,,4,(none),700s,8th century,"Middle East, South Asia"
,Swamp Blues,swampblues,folk,soulful,3,Electric Blues,1950s,1950s,USA
,Texas Blues,texasblues,folk,soulful,4,Country Blues,1920s,1920s,USA
,Texas Country,texascountry,folk,rock,4,Country,1970s,1970s,USA
,Thai Folk,thaifolk,folk,,4,(none),ancient,pre-modern oral tradition,Thailand
,Tuvan Throat Singing,tuvanthroatsinging,folk,,3,(none),ancient,pre-modern oral tradition,"Tuva, Russia"
,Urban Cowboy,urbancowboy,folk,pop,3,Country Pop,1970s,late 1970s,USA
,West Coast Blues,westcoastblues,folk,soulful,3,Blues,1940s,1940s,USA
,Western Music,westernmusic,folk,,4,Folk Music,1800s,late 1800s,USA
,Western Swing,westernswing,folk,jazz,5,Country,1920s,late 1920s,USA
,Worksong,worksong,folk,soulful,4,(none),ancient,prehistoric communal tradition,Worldwide
,World Music,worldmusic,folk,pop,4,Folk Music,1980s,early 1980s,Worldwide
,Worldbeat,worldbeat,folk,pop,3,World Music,1980s,mid-1980s,Worldwide
,Yoik,yoik,folk,,3,(none),ancient,pre-Christian Sámi tradition,Sápmi
,Zydeco,zydeco,folk,soulful,4,Louisiana Creole Music,1950s,early 1950s,USA
,Bouncy Techno,bouncytechno,hardcore,techno,3,Happy Hardcore,1990s,early 1990s,UK
,Breakbeat Hardcore,breakbeathardcore,hardcore,breakbeat,5,Rave,1990s,early 1990s,UK
,Crossbreed,crossbreed,hardcore,dnb,2,Hardcore Techno,2000s,early 2000s,Europe
,Cybergrind,cybergrind,hardcore,metal,2,Grindcore,1990s,mid-1990s,USA
,Digital Hardcore,digitalhardcore,hardcore,,3,Hardcore Punk,1990s,early 1990s,Germany
,Extratone,extratone,hardcore,noise,1,Speedcore,1990s,late 1990s,Europe
,Freeform Hardcore,freeformhardcore,hardcore,trance,3,UK Hardcore,1990s,late 1990s,UK
,Frenchcore,frenchcore,hardcore,techno,3,Hardcore Techno,1990s,mid-1990s,France
,Gabber,gabber,hardcore,techno,4,Hardcore Techno,1990s,early 1990s,Netherlands
,Happy Gabber,happygabber,hardcore,pop,3,Gabber,1990s,mid-1990s,Netherlands
,Happy Hardcore,happyhardcore,hardcore,pop,4,Hardcore Techno,1990s,early 1990s,UK
,Hard Dance,harddance,hardcore,trance,4,Hard House,1990s,mid-1990s,"UK, Europe"
,Hard NRG,hardnrg,hardcore,trance,3,Hi-NRG,1990s,early 1990s,UK
,Hardcore Techno,hardcoretechno,hardcore,techno,4,New Beat,1980s,late 1980s,"Belgium, Germany, Netherlands"
,Hardstyle,hardstyle,hardcore,trance,4,Hardcore Techno,1990s,late 1990s,Netherlands
,Industrial Hardcore,industrialhardcore,hardcore,industrial,3,Hardcore Techno,1990s,mid-1990s,Europe
,Lento Violento,lentoviolento,hardcore,house,2,Hardstyle,2000s,mid-2000s,Italy
,Mainstream Hardcore,mainstreamhardcore,hardcore,techno,4,Gabber,2000s,early 2000s,Netherlands
,Makina,makina,hardcore,trance,4,Hardcore Techno,1990s,early 1990s,Spain
,Raggatek,raggatek,hardcore,jamaican,2,Ragga Jungle,2000s,mid-2000s,Europe
,Speedcore,speedcore,hardcore,noise,2,Hardcore Techno,1990s,early 1990s,Europe
,Splittercore,splittercore,hardcore,noise,1,Speedcore,1990s,late 1990s,Europe
