Nr.,Name,Nametech,Area,Area misc.,Importance,Parent,Decade,Year,Country?
,Jazz-Funk,jazzfunk,jazz,soulful,4,Jazz Fusion,1970s,early 1970s,"USA, UK"
,Kansas City Jazz,kansascityjazz,jazz,soulful,4,Jazz,1920s,late 1920s,USA
,Latin Jazz,latinjazz,jazz,latin,5,Jazz,1940s,1940s,"USA, Cuba"
,Modal Jazz,modaljazz,jazz,,5,Bebop,1950s,late 1950s,USA
,New Orleans Jazz,neworleansjazz,jazz,soulful,5,Ragtime,1900s,early 1900s,USA
,Nordic Jazz,nordicjazz,jazz,folk,3,Cool Jazz,1960s,1960s,Scandinavia
,Post-Bop,postbop,jazz,experimental,4,Hard Bop,1960s,early 1960s,USA
,Ragtime,ragtime,jazz,classical,4,(none),1890s,c. 1895,USA
,Smooth Jazz,smoothjazz,jazz,soulful,4,Jazz Fusion,1970s,mid-1970s,USA
,Soul Jazz,souljazz,jazz,soulful,4,Hard Bop,1950s,late 1950s,USA
,Space Jazz,spacejazz,jazz,experimental,2,Modal Jazz,1950s,late 1950s,USA
,Spiritual Jazz,spiritualjazz,jazz,soulful,4,Modal Jazz,1960s,mid-1960s,USA
,Stride,stride,jazz,,3,Ragtime,1920s,early 1920s,USA
,Swing,swing,jazz,soulful,5,Jazz,1930s,early 1930s,USA
,Third Stream,thirdstream,jazz,classical,4,Cool Jazz,1950s,late 1950s,USA
,Vocal Jazz,vocaljazz,jazz,pop,5,Jazz,1920s,1920s,USA
,Jazz Pop,jazzpop,jazz,pop,3,Vocal Jazz,1960s,early-1960s,USA
,Axé,axe,latin,african,4,MPB,1980s,mid-1980s,Brazil
,Bachata,bachata,latin,,5,Bolero,1960s,early 1960s,Dominican Republic
,Bolero,bolero,latin,,4,(none),1880s,1880s,Cuba
,Boogaloo,boogaloo,latin,soulful,4,Latin Soul,1960s,mid-1960s,USA
,Boombahchero,boombahchero,latin,edm,1,Moombahton,2010s,early 2010s,Worldwide
,Bossa Nova,bossanova,latin,jazz,5,Samba,1950s,late 1950s,Brazil
,Bouyon (dominica),bouyondominica,latin,folk,3,Jing Ping,1980s,late 1980s,Dominica
,Brega,brega,latin,pop,4,Traditional Pop,1940s,late 1940s,Brazil
,Cadence-Lypso,cadencelypso,latin,african,3,Kadans,1970s,early 1970s,Dominica
,Calypso,calypso,latin,folk,4,(none),1910s,early 1900s,Trinidad and Tobago
,Carimbó,carimbo,latin,folk,4,Brazilian Folk,1600s,17th century,Brazil
,Cha-Cha-Cha,chachacha,latin,jazz,5,Mambo,1950s,early 1950s,Cuba
,Chicha (Peruvian Cumbia),chichaperuviancumbia,latin,rock,4,Cumbia,1960s,late 1960s,Peru
,Choro,choro,latin,jazz,5,(none),1870s,late 1800s,Brazil
,Contradanza,contradanza,latin,classical,4,Country Dance,1700s,late 1700s,Cuba
,Cumbia,cumbia,latin,folk,5,(none),1940s,1940s,Colombia
,Cumbia Mexicana,cumbiamexicana,latin,,4,Cumbia,1940s,late 1940s,Mexico
,Cumbia Sonidera,cumbiasonidera,latin,edm,3,Cumbia Mexicana,1990s,1990s,Mexico
,Cumbia Villera,cumbiavillera,latin,hiphop,4,Cumbia,1990s,late 1990s,Argentina
,Danzón,danzon,latin,classical,5,Habanera,1870s,late 1870s,Cuba
,Dembow,dembow,latin,jamaican,4,Dancehall,1990s,early 1990s,Dominican Republic
,Forró,forro,latin,folk,5,Brazilian Folk,1940s,1940s,Brazil
,Funk Carioca,funkcarioca,latin,hiphop,4,Miami Bass,1980s,late 1980s,Brazil
,Guaguancó,guaguanco,latin,african,4,Rumba Cubana,1880s,late 1800s,Cuba
,Habanera,habanera,latin,classical,4,Contradanza,1800s,mid-1800s,Cuba
,Haitian Méringue,haitianmeringue,latin,african,4,(none),1800s,19th century,Haiti
,Jing Ping,jingping,latin,folk,3,(none),1700s,18th-century plantation era,Dominica
,Jungle Terror,jungleterror,latin,house,2,Electro House,2010s,early 2010s,Netherlands
,Kadans,kadans,latin,african,3,Haitian Méringue,1950s,late 1950s,"Haiti, French Caribbean"
,Kompa,kompa,latin,african,5,Haitian Méringue,1950s,mid-1950s,Haiti
,Lambada,lambada,latin,pop,5,Carimbó,1980s,early 1980s,Brazil
,Latin,latin,latin,folk,5,(none),1900s,early 1900s,Latin America
,Mambo,mambo,latin,jazz,5,Son Cubano,1930s,late 1930s,Cuba
,Merengue,merengue,latin,,5,(none),1850s,mid-1800s,Dominican Republic
,Milonga (pope!),milongapope,latin,folk,4,Habanera,1870s,c. 1870,"Argentina, Uruguay"
